SHAP FEATURE IMPORTANCE SUMMARY
==================================================

HGBR – 1d  (R²=0.819, MAE=7.33, RMSE=9.96)
   6. aqi_lag_2                       mean|SHAP| = 1.0716
   7. pm2_5                           mean|SHAP| = 0.9009
   8. aqi_roll_mean_3                 mean|SHAP| = 0.8720
   9. o3_diff                         mean|SHAP| = 0.8063
  10. o3                              mean|SHAP| = 0.7880

DT – 3d  (R²=0.148, MAE=16.81, RMSE=21.58)
------------------------------------------
   1. month_cos                       mean|SHAP| = 9.1942
   2. aqi                             mean|SHAP| = 5.2888
   3. log_pm2_5                       mean|SHAP| = 3.0349
   4. aqi_lag_1                       mean|SHAP| = 2.7241
   5. pm2_5                           mean|SHAP| = 1.9676
   6. humidity                        mean|SHAP| = 1.4826
   7. so2_lag_1                       mean|SHAP| = 1.1664
   8. pm_ratio                        mean|SHAP| = 0.9184
   9. month                           mean|SHAP| = 0.8966
  10. o3_lag_1                        mean|SHAP| = 0.8170

MLP – 1d  (R²=0.750, MAE=9.06, RMSE=11.70)
------------------------------------------
   1. log_pm2_5                       mean|SHAP| = 8.4352
   2. pm2_5                           mean|SHAP| = 5.5046
   3. co                              mean|SHAP| = 5.1305
   4. log_co                          mean|SHAP| = 4.7879
   5. co_lag_1                        mean|SHAP| = 3.1578
   6. aqi_diff                        mean|SHAP| = 2.0882
   7. month_sin                       mean|SHAP| = 1.6878
   8. month_cos                       mean|SHAP| = 1.5971
   9. so2                             mean|SHAP| = 1.4959
  10. pm2_5_diff                      mean|SHAP| = 1.4586

MLP – 2d  (R²=0.257, MAE=14.60, RMSE=20.16)
-------------------------------------------
   1. log_pm2_5                       mean|SHAP| = 7.6339
   2. log_co                          mean|SHAP| = 5.2781
   3. co                              mean|SHAP| = 5.1244
   4. month_cos                       mean|SHAP| = 4.1795
   5. co_lag_1                        mean|SHAP| = 3.4807
   6. pm2_5                           mean|SHAP| = 3.2809
   7. aqi_diff                        mean|SHAP| = 2.3512
   8. month                           mean|SHAP| = 2.3174
   9. season_idx                      mean|SHAP| = 2.2942
  10. no2_diff                        mean|SHAP| = 2.1546

MLP – 3d  (R²=-0.022, MAE=17.79, RMSE=23.64)
--------------------------------------------
   1. log_pm2_5                       mean|SHAP| = 5.5104
   2. month_cos                       mean|SHAP| = 5.2549
   3. co                              mean|SHAP| = 4.9167
   4. log_co                          mean|SHAP| = 3.7512
   5. co_lag_1                        mean|SHAP| = 2.9249
   6. season_idx                      mean|SHAP| = 2.8407
   7. o3_lag_1                        mean|SHAP| = 2.5124
   8. windspeed                       mean|SHAP| = 2.1825
   9. humidity                        mean|SHAP| = 2.0514
  10. month                           mean|SHAP| = 1.9783
